season,school,position,avhs_rating,avhs_points,opponent_points
2024,Dublin High School,BS1,2200,42,37
2024,Dublin High School,BS2,1700,49,52
2024,Dublin High School,BS3,1625,42,33
2024,Dublin High School,BS4,1550,57,60
2024,Dublin High School,GS1,2250,20,42
2024,Dublin High School,GS2,1650,42,27
2024,Dublin High School,GS3,1575,42,24
2024,Dublin High School,GS4,1525,42,21
2024,Dublin High School,BD1,3450,42,19
2024,Dublin High School,BD2,3300,42,27
2024,Dublin High School,BD3,3150,58,59
2024,Dublin High School,GD1,3600,20,42
2024,Dublin High School,GD2,3475,53,53
2024,Dublin High School,GD3,3375,21,42
2024,Dublin High School,XD1,3700,24,42
2024,Dublin High School,XD2,3550,27,42
2024,Dublin High School,XD3,3300,21,42
2024,Quarry Lane School,BS1,2200,62,58
2024,Quarry Lane School,BS2,1700,42,14
2024,Quarry Lane School,BS3,1625,42,14
2024,Quarry Lane School,BS4,1550,42,18
2024,Quarry Lane School,GS1,2250,42,14
2024,Quarry Lane School,GS2,1650,42,12
2024,Quarry Lane School,GS3,1575,42,25
2024,Quarry Lane School,GS4,1525,42,6
2024,Quarry Lane School,BD1,3450,39,55
2024,Quarry Lane School,BD2,3300,55,67
2024,Quarry Lane School,BD3,3150,42,24
2024,Quarry Lane School,GD1,3600,42,6
2024,Quarry Lane School,GD2,3475,42,22
2024,Quarry Lane School,GD3,3375,42,15
2024,Quarry Lane School,XD1,3700,31,42
2024,Quarry Lane School,XD2,3550,42,23
2024,Quarry Lane School,XD3,3300,42,29
2024,California High School,BS1,2200,64,51
2024,California High School,BS2,1700,42,30
2024,California High School,BS3,1625,42,18
2024,California High School,BS4,1550,42,25
2024,California High School,GS1,2250,51,54
2024,California High School,GS2,1650,42,36
2024,California High School,GS3,1575,42,25
2024,California High School,GS4,1525,42,36
2024,California High School,BD1,3450,42,21
2024,California High School,BD2,3300,42,15
2024,California High School,BD3,3150,42,47
2024,California High School,GD1,3600,42,8
2024,California High School,GD2,3475,42,19
2024,California High School,GD3,3375,42,14
2024,California High School,XD1,3700,43,32
