name,gender,rank,preseason_elo,current_elo
Boy1,Boys,1,2200,2200
Boy2,Boys,2,2094,2094
Boy3,Boys,3,1993,1993
Boy4,Boys,4,1896,1896
Boy5,Boys,5,1803,1803
Boy6,Boys,6,1715,1715
Boy7,Boys,7,1631,1631
Boy8,Boys,8,1553,1553
Boy9,Boys,9,1478,1478
Boy10,Boys,10,1409,1409
Boy11,Boys,11,1345,1345
Boy12,Boys,12,1285,1285
Boy13,Boys,13,1231,1231
Boy14,Boys,14,1181,1181
Boy15,Boys,15,1137,1137
Boy16,Boys,16,1099,1099
Boy17,Boys,17,1066,1066
Boy18,Boys,18,1039,1039
Boy19,Boys,19,1019,1019
Boy20,Boys,20,1005,1005
Boy21,Boys,21,1000,1000
Girl1,Girls,1,2200,2200
Girl2,Girls,2,2068,2068
Girl3,Girls,3,1944,1944
Girl4,Girls,4,1826,1826
Girl5,Girls,5,1715,1715
Girl6,Girls,6,1611,1611
Girl7,Girls,7,1515,1515
Girl8,Girls,8,1426,1426
Girl9,Girls,9,1345,1345
Girl10,Girls,10,1271,1271
Girl11,Girls,11,1205,1205
Girl12,Girls,12,1148,1148
Girl13,Girls,13,1099,1099
Girl14,Girls,14,1059,1059
Girl15,Girls,15,1028,1028
Girl16,Girls,16,1008,1008
Girl17,Girls,17,1000,1000
