name,gender,rank
Girl1,Girl,1
Girl2,Girl,2
Girl3,Girl,3
Girl4,Girl,4
Girl5,Girl,5
Girl6,Girl,6
Girl7,Girl,7
Girl8,Girl,8
Girl9,Girl,9
Girl10,Girl,10
Girl11,Girl,11
Girl12,Girl,12
Girl13,Girl,13
Girl14,Girl,14
Girl15,Girl,15
Girl16,Girl,16
Girl17,Girl,17
Boy1,Boy,1
Boy2,Boy,2
Boy3,Boy,3
Boy4,Boy,4
Boy5,Boy,5
Boy6,Boy,6
Boy7,Boy,7
Boy8,Boy,8
Boy9,Boy,9
Boy10,Boy,10
Boy11,Boy,11
Boy12,Boy,12
Boy13,Boy,13
Boy14,Boy,14
Boy15,Boy,15
Boy16,Boy,16
Boy17,Boy,17
Boy18,Boy,18
Boy19,Boy,19
Boy20,Boy,20
Boy21,Boy,21
